name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,glass
brave bull,tequila,1 1/2 oz,blanco tequila,1 oz,coffee liqueur,,lemon twist,,,,,,,old-fashioned glass
blue margarita,tequila,for glass,"lime juice, coarse salt",1 1/2 oz,blanco tequila,1/2 oz,blue curacao,1 oz,fresh lime juice,,,,,cocktail glass
bloody maria,tequila,1 oz,blanco tequila,2 oz,tomato juice,1/4 oz,fresh lemon juice,1 oz,hot red pepper sauce,1 oz,celery salt,,lemon wheel,old-fashioned glass
pineapple dream cocktail,cocktail classics,1/2 oz,pineapple juice,1/2 oz,juice of a lime,1 oz,old mr. boston imported rum,,,,,,,cocktail glass
big red hooter,tequila,1 oz,blanco tequila,3/4 oz,amaretto,2 oz,pineapple juice,1/2 oz,grenadine,,maraschino cherry,,,collins glass
blood bronx cocktail,cocktail classics,1 1/2 oz,old mr. boston dry gin,1 1/2 oz,dry vermouth,1/4 oz,juice of a blood orange,,,,,,,cocktail glass
bravo,tequila,2 oz,anejo tequila,1/4 oz,agave nectar,2 oz,angostura bitters,1 oz,orange bitters,,grapefruit twist,,,old-fashioned glass
amante picante,tequila,2 oz,cucumber,2 oz,fresh cilantro sprigs,2 oz,blanco tequila,1 oz,fresh lime juice,1 oz,simple syrup,2 oz,"jalapeno hot pepper sauce, cucumber slice",cocktail glass
brunswick street cocktail,brandy,1 1/2 oz,cognac,1 1/2 oz,"sweet sherry, preferably pedro ximenez",1 oz,egg yolk,freshly grated nutmeg,,,,,,cocktail glass
black hawk cocktail,cocktail classics,1 1/4 oz,old thompson blended whiskey,1 1/4 oz,old mr. boston sloe gin,,,,,,,,,cocktail glass
alamo splash,tequila,1 1/2 oz,blanco tequila,1 oz,orange juice,1/2 oz,pineapple juice,1 oz,lemon-lime soda,,,,,collins glass
betsy ross cocktail,cocktail classics,1 1/2 oz,old mr. boston five star brandy,1 1/2 oz,port,1 oz,old mr. boston triple sec,,,,,1 1/4 oz,old mr. boston dry gin,cocktail glass
bermuda rose cocktail,cocktail classics,1 1/4 oz,old mr. boston dry gin,1 1/2 oz,old mr. boston apricot flavored brandy,1 1/2 oz,grenadine,,,,,,,cocktail glass
yokahama romance,gin,2 1/2 oz,sake,1 oz,gin,1/4 oz,maraschino liqueur,1 oz,unsprayed rose petal,,,,,cocktail glass
yale cocktail,gin,1 1/2 oz,gin,1/2 oz,dry vermouth,1 oz,blue curacao,1 oz,angostura bitters,,,,,cocktail glass
xanthia cocktail,gin,3/4 oz,gin,3/4 oz,cherry-flavored brandy,3/4 oz,yellow chartreuse,,,,,,,cocktail glass
woodstock,gin,1 1/2 oz,gin,1 oz,fresh lemon juice,1 1/2 oz,maple syrup,1 oz,orange bitters,,,,,cocktail glass
wolf's bite,gin,1 1/2 oz,gin,1 oz,grapefruit juice,1/2 oz,green chartreuse,,,,,,,cocktail glass
barbary coast cocktail,cocktail classics,1/2 oz,old mr. boston dry gin,1/2 oz,old mr. boston rum,1/2 oz,old mr. boston creme de cacao,1/2 oz,desmond & duff scotch whisky,1/2 oz,sweet cream,,,cocktail glass
the winkle,gin,3 oz,fresh sage leaves,2 oz,gin,1 oz,fresh lime juice,1/2 oz,limoncello,1/2 oz,simple syrup,4 oz,"raspberries, lemon twist",cocktail glass
the wink,gin,1 splash,absinthe,2 oz,gin,1/4 oz,triple sec,1/4 oz,simple syrup,2 oz,peychaud's bitters,,,old-fashioned glass
will rogers,gin,1 1/2 oz,gin,1/2 oz,dry vermouth,1/2 oz,orange juice,1 oz,triple sec,,,,,cocktail glass
brandy vermouth cocktail,brandy,2 oz,brandy,1/2 oz,sweet vermouth,1 oz,angostura bitters,,,,,,,cocktail glass
white spider,gin,1 oz,gin,3/4 oz,fresh lemon juice,1/2 oz,triple sec,1/4 oz,simple syrup,,,,,cocktail glass
white lady,gin,1 1/2 oz,gin,3/4 oz,triple sec,,,,,,,,,cocktail glass
western rose,gin,1 oz,gin,1/2 oz,dry vermouth,1/2 oz,apricot-flavored brandy,1 oz,fresh lemon juice,,,,,cocktail glass
may blosson fizz,cocktail classics,1 oz,grenadine,1/2 oz,juice of a lemon,2 oz,swedish punch,,,,,,,highball glass
wembly cocktail,gin,1 1/2 oz,gin,3/4 oz,dry vermouth,1/2 oz,apple brandy,1/2 oz,apricot-flavored brandy,,,,,cocktail glass
apple pie cocktail,cocktail classics,3/4 oz,old mr. boston rum,3/4 oz,sweet vermouth,1 oz,apple flavored brandy,1/2 oz,grenadine,1 oz,lemon juice,,,cocktail glass
water lily,gin,3/4 oz,gin,3/4 oz,triple sec,3/4 oz,creme de violette,3/4 oz,fresh lemon juice,,orange twist,,,cocktail glass
wallis blue cocktail,gin,1,"lime wedge, superfine sugar",1 oz,gin,1 oz,triple sec,1 oz,fresh lime juice,,,,,old-fashioned glass
minnehaha cocktail,cocktail classics,1/4 oz,juice of orange,1/2 oz,dry vermouth,1/2 oz,sweet vermouth,1 oz,old mr. boston dry gin,,,,,cocktail glass
wallick cocktail,gin,1 1/2 oz,gin,1 1/2 oz,dry vermouth,1 oz,triple sec,,,,,,,cocktail glass
waikiki beachcomber,gin,3/4 oz,gin,3/4 oz,triple sec,1/2 oz,pineapple juice,,,,,,,cocktail glass
vow of silence,gin,1 1/2 oz,gin,3/4 oz,grapefruit juice,1/2 oz,fresh lime juice,1/2 oz,yellow chartreuse,1/4 oz,amaro,1/4 oz,simple syrup,cocktail glass
