name,category,measurement-1,ingredient-1,measurement-2,ingredient-2,measurement-3,ingredient-3,measurement-4,ingredient-4,measurement-5,ingredient-5,measurement-6,ingredient-6,glass
pineapple cocktail,rum - daiquiris,1 1/2 oz,light rum,3/4 oz,pineapple juice,1/2 oz,fresh lemon juice,,,,,,,cocktail glass
pearl button,rum - daiquiris,2 oz,cachaca (brazilian rum),3/4 oz,lillet blanc,1/2 oz,fresh lime juice,lemon-lime soda,,,"pineapple wedge, maraschino cherry",,,collins glass
the crux,brandy,3/4 oz,dubonnet,3/4 oz,triple sec,3/4 oz,brandy,3/4 oz,fresh lemon juice,,orange twist,,,cocktail glass
paris when it sizzles,rum - daiquiris,3/4 oz,elderflower liqueur,2 oz,dark rum,1/2 oz,fresh lime juice,1 oz,angostura bitters,,lime wedge,,,cocktail glass
palmetto cocktail,rum - daiquiris,1 1/2 oz,light rum,1 1/2 oz,dry vermouth,2 oz,angostura bitters,,,,,,,cocktail glass
paddington,rum - daiquiris,1 oz,absinthe,1 1/2 oz,light rum,1/2 oz,lillet blanc,1/2 oz,fresh grapefruit juice,1/2 oz,fresh lemon juice,1 oz,"orange marmalade, grapefruit twist",cocktail glass
the old cuban,rum - daiquiris,6 fresh,mint leaves,1 oz,simple syrup,3/4 oz,fresh lime juice,1 1/2 oz,dark rum,2 oz,angostura bitters,2 oz,"champagne, chopped fresh mint",cocktail glass
"oh, gosh!",rum - daiquiris,1 1/2 oz,light rum,1 1/2 oz,triple sec,1 oz,fresh lime juice,lemon twist,,,,,,cocktail glass
night cap,rum - daiquiris,2 oz,light rum,1/2 oz,simple syrup,,warm milk,freshly grated nutmeg,,,,,,irish coffee glass
new orleans buck,rum - daiquiris,1 1/2 oz,light rum,1 oz,fresh orange juice,1/2 oz,fresh lemon juice,ginger ale,,,,,,collins glass
nevada cocktail,rum - daiquiris,1 1/2 oz,light rum,1 oz,grapefruit juice,3/4 oz,fresh lime juice,3/4 oz,simple syrup,1 oz,angostura bitters,,,cocktail glass
moonquake shake,rum - daiquiris,1 1/2 oz,dark rum,1 oz,coffee-flavored brandy,1/4 oz,fresh lemon juice,,,,,,,cocktail glass
monkey wrench,rum - daiquiris,1 1/2 oz,light rum,,grapefruit juice,,,,,,,,,collins glass
creme de cafe,brandy,1 oz,coffee-flavored brandy,1/2 oz,light rum,1/2 oz,anisette,1 oz,half-and-half,,,,,old-fashioned glass
margarita,cocktail classics,1 1/2 oz,blanco tequila,3/4 oz,cointreau or triple sec,3/4 oz,fresh lime juice,"lime wedge, coarse (kosher) salt",,,,,,cocktail glass
mojito,rum - daiquiris,3 oz,lime wedges,7,fresh mint leaves,3/4 oz,simple syrup,2 oz,light rum,,soda water,,fresh mint sprig,collins glass
champagne flamingo,vodka,3/4 oz,vodka,3/4 oz,campari,5 oz,chilled champagne,orange twist,,,,,,champagne flute
thunder and lightning cocktail,cocktail classics,1 oz,egg yolk,1 oz,powdered sugar,1 1/2 oz,old mr. boston five star brandy,,,,,,,cocktail glass
casco bay lemonade,vodka,1 1/2 oz,citrus-flavored vodka,2 oz,simple syrup,2 oz,fresh lemon juice,1 oz,cranberry juice,,lemon-lime soda,,lemon wheel,collins glass
caribbean cruise,vodka,1 oz,vodka,1/4 oz,light rum,1/4 oz,coconut-flavored rum,1 oz,grenadine,4 oz,pineapple juice,,"pineapple wedge, maraschino cherry",collins glass
cappuccino cocktail,vodka,3/4 oz,vodka,3/4 oz,coffee-flavored brandy,3/4 oz,half-and-half,1 1/2 oz,vodka,5 oz,cranberry juice,,lime wedge,cocktail glass
cape codder,tequila,1 1/2 oz,vodka,5 oz,cranberry juice,,lime wedge,1 oz,old mr. boston anisette,1 oz,old mr. boston five star brandy,1 oz,egg white,highball glass
baltimore bracer cocktail,cocktail classics,1 oz,old mr. boston anisette,1 oz,old mr. boston five star brandy,1 oz,egg white,,,,,,,cocktail glass
caesar,vodka,for glass,"lemon wedge, celery salt",1 1/2 oz,vodka,4 oz,tomato-clam juice,1/2 oz,prepared horseradish,1 oz,"each worcestershire sauce, salt, ground black pepper",,"celery stalk, lemon wedge",highball glass
bull shot,vodka,1 1/2 oz,vodka,3 oz,cold beef bouillon,1 oz,worcestershire sauce,1 oz,salt,1 oz,freshly ground black pepper,,,old-fashioned glass
bullfrog,vodka,1 1/2 oz,vodka,5 oz,lemonade,,lime wheel,,,,,,,collins glass
